net_idx,inject_time_us,network,num_inputs
1,0,resnet34,5
2,0,resnet18,5
3,1,resnet50,5
4,1,resnet18,5
5,2,resnet34,5
6,2,resnet18,5
7,2,resnet50,5
8,3,alexnet,5
9,3,alexnet,5
10,4,resnet50,5
11,5,resnet50,5
12,5,resnet18,5
13,7,resnet34,5
14,10,resnet18,5
15,11,resnet18,5
16,11,resnet18,5
17,11,alexnet,5
18,12,resnet34,5
19,13,alexnet,5
20,13,alexnet,5
21,13,resnet34,5
22,14,resnet34,5
23,14,resnet18,5
24,14,alexnet,5
25,14,resnet50,5
26,14,resnet50,5
27,15,resnet18,5
28,15,resnet34,5
29,16,resnet50,5
30,16,resnet34,5
31,17,resnet18,5
32,19,resnet18,5
33,20,resnet34,5
34,21,resnet34,5
35,21,alexnet,5
36,25,alexnet,5
37,26,resnet50,5
38,27,resnet34,5
39,29,resnet34,5
40,29,alexnet,5
41,31,resnet18,5
42,32,resnet50,5
43,34,resnet50,5
44,36,resnet34,5
45,38,alexnet,5
46,41,resnet50,5
47,43,resnet18,5
48,46,resnet34,5
49,47,resnet50,5
50,47,resnet18,5
51,48,resnet34,5
52,48,alexnet,5
53,49,alexnet,5
54,49,resnet50,5
55,49,alexnet,5
