net_idx,inject_time_us,network,num_inputs
1,0,resnet34,3
2,0,resnet50,3
3,0,resnet50,3
4,0,alexnet,3
5,4,resnet18,3
6,4,resnet34,3
7,5,resnet50,3
8,8,resnet34,3
9,8,resnet18,3
10,9,resnet50,3
11,9,resnet18,3
12,10,resnet18,3
13,10,resnet50,3
14,11,resnet50,3
15,13,resnet18,3
16,16,resnet50,3
17,16,resnet34,3
18,17,resnet50,3
19,17,resnet50,3
20,19,alexnet,3
21,19,resnet18,3
22,20,resnet18,3
23,20,alexnet,3
24,22,resnet34,3
25,22,resnet34,3
26,23,alexnet,3
27,23,resnet18,3
28,24,alexnet,3
29,26,resnet18,3
30,26,alexnet,3
31,26,resnet34,3
32,26,resnet34,3
33,26,resnet34,3
34,28,resnet18,3
35,28,alexnet,3
36,28,resnet18,3
37,28,resnet18,3
38,30,resnet34,3
39,31,alexnet,3
40,32,resnet18,3
41,32,resnet50,3
42,32,resnet50,3
43,33,resnet34,3
44,36,resnet18,3
45,38,resnet50,3
46,38,resnet50,3
47,40,resnet34,3
48,42,resnet18,3
49,44,alexnet,3
50,44,alexnet,3
51,45,resnet34,3
52,47,resnet34,3
53,48,resnet50,3
