net_idx,inject_time_us,network,num_inputs
1,0,resnet50,10
2,0,resnet18,10
3,2,alexnet,10
4,3,resnet34,10
5,4,resnet50,10
6,4,resnet18,10
7,5,resnet34,10
8,7,resnet34,10
9,7,alexnet,10
10,8,resnet50,10
11,8,resnet34,10
12,8,resnet50,10
13,9,resnet50,10
14,11,resnet34,10
15,11,resnet34,10
16,12,resnet34,10
17,12,resnet18,10
18,12,resnet18,10
19,12,alexnet,10
20,12,resnet18,10
21,12,resnet34,10
22,12,alexnet,10
23,13,resnet34,10
24,14,resnet34,10
25,18,resnet50,10
26,19,alexnet,10
27,20,resnet50,10
28,20,resnet18,10
29,20,alexnet,10
30,22,alexnet,10
31,23,resnet50,10
32,24,resnet34,10
33,27,resnet50,10
34,28,resnet50,10
35,29,resnet50,10
36,30,resnet50,10
37,31,alexnet,10
38,33,resnet50,10
39,35,resnet34,10
40,35,resnet18,10
41,35,alexnet,10
42,36,resnet50,10
43,37,resnet50,10
44,38,resnet18,10
45,40,resnet34,10
46,40,resnet18,10
47,41,resnet34,10
48,42,resnet18,10
49,44,alexnet,10
50,46,alexnet,10
51,46,resnet18,10
52,46,alexnet,10
53,47,alexnet,10
54,47,resnet18,10
