net_idx,inject_time_us,network,num_inputs
1,16,resnet18,2
2,19,resnet18,10
3,22,vgg16,6
4,22,vgg16,7
5,45,vgg16,7
6,46,resnet18,10
7,65,vgg16,6
8,80,resnet18,6
9,83,vgg16,9
10,88,vgg16,1
11,89,vgg16,1
12,96,alexnet,1
13,110,resnet18,10
14,138,vgg16,8
15,175,alexnet,3
16,189,vgg16,9
17,202,vgg16,2
18,240,resnet18,5
19,243,alexnet,1
20,250,alexnet,8
21,251,alexnet,2
22,273,alexnet,5
23,322,alexnet,7
24,326,resnet18,5
25,373,alexnet,1
26,379,vgg16,10
27,400,alexnet,3
28,404,resnet18,4
29,418,resnet18,5
30,507,resnet18,2
31,521,alexnet,4
32,550,resnet18,2
33,686,resnet18,5
34,696,resnet18,6
35,696,resnet18,4
36,702,vgg16,5
37,716,resnet18,2
38,716,vgg16,8
39,743,vgg16,1
40,775,alexnet,5
41,799,resnet18,10
42,801,alexnet,4
43,823,resnet18,7
44,854,alexnet,3
45,857,vgg16,2
46,865,vgg16,6
47,870,alexnet,4
48,891,resnet18,1
49,898,alexnet,7
50,902,alexnet,5
51,1003,resnet18,5
52,1007,resnet18,2
53,1008,alexnet,8
54,1035,resnet18,9
55,1098,vgg16,10
56,1119,vgg16,8
57,1123,resnet18,8
58,1142,alexnet,7
59,1171,alexnet,3
60,1181,resnet18,4
61,1204,resnet18,10
62,1205,vgg16,5
63,1218,alexnet,7
64,1242,resnet18,8
65,1242,alexnet,2
66,1243,alexnet,7
67,1262,vgg16,1
68,1293,resnet18,9
69,1326,alexnet,5
70,1328,resnet18,1
71,1351,resnet18,9
72,1384,vgg16,4
73,1395,vgg16,3
74,1397,resnet18,8
75,1403,alexnet,9
76,1436,vgg16,9
77,1456,resnet18,4
78,1478,resnet18,8
79,1532,resnet18,10
80,1592,vgg16,2
81,1620,vgg16,10
82,1628,resnet18,2
83,1634,vgg16,5
84,1654,resnet18,3
85,1655,vgg16,1
86,1662,alexnet,9
87,1754,resnet18,1
88,1781,resnet18,8
89,1856,vgg16,2
90,1869,alexnet,8
91,1911,alexnet,4
92,1931,alexnet,7
93,1934,resnet18,5
94,1941,alexnet,3
95,1959,alexnet,4
96,1988,alexnet,4
97,1988,alexnet,4
98,2014,alexnet,10
99,2020,vgg16,5
100,2036,resnet18,9
101,2037,alexnet,2
102,2044,vgg16,6
103,2106,vgg16,4
104,2108,vgg16,2
105,2114,vgg16,2
106,2148,resnet18,7
107,2169,alexnet,10
108,2207,vgg16,4
109,2238,alexnet,10
110,2240,alexnet,8
111,2273,alexnet,7
112,2279,resnet18,10
113,2287,alexnet,9
114,2342,vgg16,8
115,2345,alexnet,9
116,2348,vgg16,9
117,2376,resnet18,6
118,2376,vgg16,8
119,2406,alexnet,2
120,2407,alexnet,6
121,2415,resnet18,7
122,2435,resnet18,6
123,2457,vgg16,8
124,2459,resnet18,1
125,2468,alexnet,8
126,2469,resnet18,3
127,2497,vgg16,7
128,2522,resnet18,9
129,2525,alexnet,8
130,2530,alexnet,4
131,2537,vgg16,7
132,2544,alexnet,7
133,2558,alexnet,9
134,2565,vgg16,3
135,2574,resnet18,8
136,2598,vgg16,4
137,2658,vgg16,2
138,2660,alexnet,1
139,2675,vgg16,4
140,2716,resnet18,4
141,2730,resnet18,5
142,2734,vgg16,9
143,2796,resnet18,5
144,2867,vgg16,10
145,2888,resnet18,10
146,2911,resnet18,1
147,2931,alexnet,1
148,2949,alexnet,9
149,2972,vgg16,1
150,2999,alexnet,8
151,3013,alexnet,10
152,3017,vgg16,6
153,3030,resnet18,2
154,3060,alexnet,6
155,3090,vgg16,7
156,3176,vgg16,4
157,3218,resnet18,10
158,3222,resnet18,1
159,3241,alexnet,6
160,3279,vgg16,9
161,3302,resnet18,3
162,3310,alexnet,9
163,3322,resnet18,9
164,3333,alexnet,1
165,3347,alexnet,9
166,3381,resnet18,5
167,3386,vgg16,3
168,3390,vgg16,7
169,3411,alexnet,8
170,3438,alexnet,6
171,3471,vgg16,3
172,3508,resnet18,4
173,3517,vgg16,7
174,3520,alexnet,10
175,3556,vgg16,2
176,3570,resnet18,8
177,3575,vgg16,6
178,3589,alexnet,5
179,3599,vgg16,3
180,3643,alexnet,7
181,3651,alexnet,3
182,3653,alexnet,5
183,3721,vgg16,7
184,3738,resnet18,3
185,3750,vgg16,4
186,3753,resnet18,6
187,3783,vgg16,2
188,3789,resnet18,8
189,3800,vgg16,8
190,3806,resnet18,9
191,3810,alexnet,4
192,3813,resnet18,1
193,3842,resnet18,4
194,3856,vgg16,6
195,3872,resnet18,8
196,3877,resnet18,8
197,3917,resnet18,10
198,3922,vgg16,2
199,3937,vgg16,3
200,3965,resnet18,2
201,3968,resnet18,10
202,3969,vgg16,2
203,3983,resnet18,5
204,3990,resnet18,5
205,3994,vgg16,9
206,4005,vgg16,4
207,4010,vgg16,5
208,4053,alexnet,1
209,4054,alexnet,9
210,4054,vgg16,3
211,4078,vgg16,6
212,4114,alexnet,8
213,4114,alexnet,6
214,4161,alexnet,5
215,4233,vgg16,1
216,4253,vgg16,6
217,4272,vgg16,5
218,4282,alexnet,4
219,4291,vgg16,10
220,4315,alexnet,1
221,4321,vgg16,1
222,4336,alexnet,7
223,4349,resnet18,7
224,4378,vgg16,1
225,4386,vgg16,1
226,4435,resnet18,8
227,4460,resnet18,4
228,4461,alexnet,1
229,4466,resnet18,9
230,4467,alexnet,8
231,4469,vgg16,1
232,4471,resnet18,3
233,4561,vgg16,2
234,4585,vgg16,1
235,4605,vgg16,1
236,4617,alexnet,4
237,4633,alexnet,7
238,4719,vgg16,3
239,4720,alexnet,9
240,4722,alexnet,2
241,4727,resnet18,9
242,4728,resnet18,1
243,4767,vgg16,5
244,4779,resnet18,4
245,4789,alexnet,8
246,4796,vgg16,3
247,4796,alexnet,8
248,4808,resnet18,3
249,4872,resnet18,7
250,4925,vgg16,3
251,4982,resnet18,3
252,4982,alexnet,6
253,4995,vgg16,4
254,5017,resnet18,5
255,5051,alexnet,3
256,5066,vgg16,3
257,5072,alexnet,5
258,5075,vgg16,9
259,5082,vgg16,4
260,5097,vgg16,2
261,5104,alexnet,2
262,5130,vgg16,7
263,5162,vgg16,6
264,5165,vgg16,9
265,5169,resnet18,2
266,5238,vgg16,9
267,5242,vgg16,9
268,5256,vgg16,3
269,5286,alexnet,8
270,5300,resnet18,1
271,5313,resnet18,4
272,5340,vgg16,7
273,5368,resnet18,10
274,5411,vgg16,8
275,5417,resnet18,4
276,5453,resnet18,1
277,5497,resnet18,5
278,5532,vgg16,7
279,5545,resnet18,5
280,5589,vgg16,4
281,5667,alexnet,1
282,5681,alexnet,10
283,5734,resnet18,5
284,5738,resnet18,1
285,5773,resnet18,2
286,5791,resnet18,4
287,5808,vgg16,1
288,5831,alexnet,2
289,5846,vgg16,3
290,5888,alexnet,5
291,5906,alexnet,4
292,5980,resnet18,9
293,5994,vgg16,3
294,5998,vgg16,1
295,6031,vgg16,2
296,6043,alexnet,2
297,6049,alexnet,7
298,6052,alexnet,10
299,6089,alexnet,4
300,6098,vgg16,6
301,6161,alexnet,3
302,6163,resnet18,7
303,6167,alexnet,9
304,6242,resnet18,5
305,6248,alexnet,5
306,6264,alexnet,8
307,6327,vgg16,5
308,6335,resnet18,3
309,6336,alexnet,4
310,6350,resnet18,3
311,6359,alexnet,8
312,6374,resnet18,1
313,6391,vgg16,4
314,6419,vgg16,5
315,6474,vgg16,4
316,6475,alexnet,9
317,6482,alexnet,3
318,6495,vgg16,4
319,6522,alexnet,3
320,6550,alexnet,3
321,6555,vgg16,2
322,6559,resnet18,8
323,6571,resnet18,6
324,6584,resnet18,9
