net_idx,inject_time_us,network,num_inputs
1,1,mobilenet_v3,7
2,1,alexnet,3
3,5,resnet18,8
4,7,resnet18,6
5,8,alexnet,6
6,8,resnet34,1
7,24,resnet50,5
8,25,resnet34,1
9,34,resnet34,3
10,43,resnet34,4
11,72,resnet50,6
12,74,resnet50,8
13,77,resnet50,1
14,89,mobilenet_v3,8
15,95,resnet34,1
16,97,alexnet,9
17,98,resnet34,7
18,143,mobilenet_v3,8
19,149,resnet50,9
20,150,resnet34,10
21,153,mobilenet_v3,6
22,170,alexnet,7
23,180,resnet34,1
24,185,mobilenet_v3,9
25,198,resnet18,7
26,211,resnet50,9
27,215,resnet50,7
28,233,mobilenet_v3,3
29,234,resnet34,6
30,249,resnet34,9
31,250,mobilenet_v3,3
32,254,resnet34,1
33,256,resnet18,6
34,273,resnet50,8
35,279,alexnet,2
36,285,mobilenet_v3,6
37,289,vgg16,1
38,293,resnet18,7
39,334,resnet34,2
40,346,resnet34,3
41,352,alexnet,7
42,356,resnet18,10
43,358,mobilenet_v3,6
44,364,vgg16,8
45,366,resnet18,1
46,371,resnet18,7
47,378,mobilenet_v3,1
48,384,vgg16,6
49,397,mobilenet_v3,10
50,408,resnet34,4
51,428,alexnet,2
52,448,resnet18,3
53,452,mobilenet_v3,3
54,465,resnet50,10
55,466,mobilenet_v3,3
56,469,resnet50,6
57,471,mobilenet_v3,1
58,477,resnet18,4
59,481,resnet34,10
60,487,resnet50,3
61,490,mobilenet_v3,4
62,496,resnet18,1
63,502,resnet34,9
64,503,resnet18,6
65,526,mobilenet_v3,10
66,549,alexnet,8
67,557,vgg16,6
68,565,mobilenet_v3,3
69,586,resnet34,8
70,595,resnet18,1
71,611,resnet34,3
72,635,resnet34,1
73,648,resnet34,2
74,651,vgg16,3
75,660,resnet50,5
76,664,resnet50,6
77,671,resnet34,5
78,675,resnet34,8
79,704,mobilenet_v3,3
80,710,resnet34,7
81,715,resnet50,6
82,716,resnet34,8
83,720,resnet18,10
84,720,mobilenet_v3,3
85,726,vgg16,5
86,727,resnet50,8
87,735,resnet50,1
88,741,resnet18,3
89,744,resnet34,5
90,765,resnet18,7
91,770,resnet34,9
92,778,alexnet,6
93,779,resnet34,2
94,784,alexnet,7
95,784,resnet34,2
96,784,mobilenet_v3,6
97,835,mobilenet_v3,5
98,836,resnet18,6
99,857,resnet50,4
100,865,resnet34,10
101,887,resnet50,1
102,896,resnet18,7
103,903,resnet18,10
104,910,mobilenet_v3,4
105,944,resnet50,5
106,953,mobilenet_v3,8
107,964,resnet18,2
108,974,resnet34,8
109,999,mobilenet_v3,8
110,1043,resnet50,3
111,1049,resnet50,2
112,1060,resnet34,4
113,1063,mobilenet_v3,9
114,1088,resnet50,5
115,1092,resnet18,4
116,1117,alexnet,9
117,1124,resnet50,5
118,1130,resnet34,3
119,1147,resnet34,9
120,1150,resnet50,4
121,1180,resnet34,10
122,1183,resnet50,3
123,1207,resnet18,7
124,1213,alexnet,5
125,1214,resnet34,7
126,1220,mobilenet_v3,2
127,1228,mobilenet_v3,1
128,1233,mobilenet_v3,10
129,1247,alexnet,7
130,1248,resnet18,7
131,1249,resnet34,8
132,1273,vgg16,3
133,1276,resnet34,4
134,1294,mobilenet_v3,9
135,1297,resnet50,1
136,1298,resnet34,8
137,1310,mobilenet_v3,2
138,1312,alexnet,7
139,1343,mobilenet_v3,10
140,1357,resnet18,6
141,1359,mobilenet_v3,3
142,1384,resnet50,8
143,1384,resnet50,1
144,1391,resnet50,6
145,1397,vgg16,2
146,1403,mobilenet_v3,7
147,1420,resnet34,10
148,1429,alexnet,1
149,1457,mobilenet_v3,1
150,1479,resnet34,5
151,1515,resnet34,9
152,1522,resnet50,1
153,1525,mobilenet_v3,2
154,1534,alexnet,9
155,1536,resnet34,5
156,1538,vgg16,9
157,1543,vgg16,4
158,1545,vgg16,2
159,1548,resnet34,5
160,1570,resnet18,8
161,1580,mobilenet_v3,2
162,1592,resnet34,10
163,1594,resnet18,4
164,1599,resnet34,6
165,1600,mobilenet_v3,1
166,1603,resnet50,4
167,1634,vgg16,7
168,1641,resnet34,2
169,1643,alexnet,2
170,1644,resnet50,10
171,1645,alexnet,5
172,1652,resnet34,5
173,1664,vgg16,1
174,1679,resnet34,4
175,1680,alexnet,10
176,1689,resnet34,7
177,1689,alexnet,8
178,1694,resnet18,5
179,1700,resnet34,4
