net_idx,inject_time_us,network,num_inputs
1,0,resnet50,7
2,0,alexnet,7
3,1,resnet18,7
4,2,resnet34,7
5,3,alexnet,7
6,5,resnet34,7
7,5,alexnet,7
8,7,resnet18,7
9,10,resnet50,7
10,11,resnet50,7
11,11,alexnet,7
12,14,resnet18,7
13,15,resnet18,7
14,16,resnet34,7
15,18,resnet50,7
16,19,resnet50,7
17,19,resnet18,7
18,19,resnet50,7
19,20,resnet50,7
20,21,resnet18,7
21,22,resnet18,7
22,23,resnet18,7
23,24,resnet18,7
24,24,resnet18,7
25,25,resnet18,7
26,27,alexnet,7
27,28,resnet18,7
28,29,resnet34,7
29,29,resnet34,7
30,31,resnet50,7
31,31,resnet50,7
32,32,resnet50,7
33,34,resnet18,7
34,34,resnet50,7
35,35,resnet18,7
36,36,resnet18,7
37,36,alexnet,7
38,36,resnet18,7
39,38,alexnet,7
40,39,resnet34,7
41,39,resnet34,7
42,42,alexnet,7
43,42,resnet50,7
44,42,resnet34,7
45,44,resnet34,7
46,46,alexnet,7
47,47,alexnet,7
