net_idx,inject_time_us,network,num_inputs
1,2,resnet34,100
2,2,resnet34,100
3,2,mobilenet_v3,100
4,4,resnet50,100
5,4,resnet34,100
6,4,resnet50,100
7,6,resnet50,100
8,6,resnet18,100
9,9,resnet50,100
10,10,resnet50,100
11,10,resnet34,100
12,14,resnet18,100
13,14,resnet18,100
14,15,resnet34,100
15,16,mobilenet_v3,100
16,17,resnet18,100
17,20,resnet34,100
18,21,alexnet,100
19,21,resnet50,100
20,22,resnet18,100
21,23,resnet18,100
22,24,resnet18,100
23,25,resnet50,100
24,25,mobilenet_v3,100
25,25,resnet50,100
26,25,resnet50,100
27,26,resnet18,100
28,28,resnet34,100
29,28,resnet18,100
30,28,resnet18,100
31,29,resnet50,100
32,29,resnet34,100
33,30,mobilenet_v3,100
34,30,alexnet,100
35,31,mobilenet_v3,100
36,33,resnet18,100
37,33,resnet50,100
38,34,resnet18,100
39,35,resnet18,100
40,35,resnet18,100
41,35,resnet18,100
42,36,resnet18,100
43,36,resnet34,100
44,38,resnet34,100
45,39,resnet50,100
46,40,resnet34,100
47,40,alexnet,100
48,44,resnet34,100
49,45,resnet50,100
50,46,resnet18,100
51,49,resnet18,100
