net_idx,inject_time_us,network,num_inputs
1,1,alexnet,30
2,4,resnet18,30
3,7,resnet50,30
4,7,resnet18,30
5,7,resnet50,30
6,8,resnet18,30
7,8,resnet34,30
8,9,resnet34,30
9,11,resnet18,30
10,11,alexnet,30
11,11,alexnet,30
12,11,resnet34,30
13,13,resnet50,30
14,13,resnet34,30
15,14,resnet34,30
16,15,resnet18,30
17,15,resnet18,30
18,16,resnet50,30
19,16,resnet34,30
20,17,alexnet,30
21,18,alexnet,30
22,20,resnet34,30
23,23,resnet34,30
24,24,resnet50,30
25,25,resnet50,30
26,26,resnet18,30
27,26,alexnet,30
28,28,resnet18,30
29,31,resnet18,30
30,31,resnet18,30
31,32,resnet18,30
32,34,resnet50,30
33,34,alexnet,30
34,34,resnet18,30
35,40,resnet34,30
36,41,resnet18,30
37,42,alexnet,30
38,43,resnet50,30
39,45,resnet50,30
40,45,alexnet,30
41,45,resnet18,30
42,46,resnet50,30
43,46,resnet50,30
44,48,resnet18,30
45,49,resnet50,30
