net_idx,inject_time_us,network,num_inputs
1,0,alexnet,50
2,0,alexnet,50
3,1,alexnet,50
4,2,resnet34,50
5,3,alexnet,50
6,3,alexnet,50
7,3,resnet50,50
8,5,alexnet,50
9,6,resnet50,50
10,6,alexnet,50
11,7,resnet34,50
12,7,alexnet,50
13,7,resnet50,50
14,8,resnet18,50
15,9,resnet50,50
16,10,resnet18,50
17,11,resnet50,50
18,12,alexnet,50
19,13,resnet50,50
20,14,resnet50,50
21,16,alexnet,50
22,16,resnet34,50
23,16,resnet50,50
24,17,resnet50,50
25,17,resnet18,50
26,17,resnet50,50
27,18,resnet50,50
28,19,resnet34,50
29,19,resnet50,50
30,20,resnet50,50
31,20,resnet18,50
32,21,alexnet,50
33,22,resnet50,50
34,24,resnet34,50
35,24,alexnet,50
36,25,resnet34,50
37,26,resnet50,50
38,27,resnet34,50
39,29,resnet50,50
40,29,resnet18,50
41,31,resnet34,50
42,31,resnet50,50
43,33,alexnet,50
44,35,resnet18,50
45,36,resnet18,50
46,37,resnet18,50
47,37,resnet18,50
48,38,resnet34,50
49,38,resnet50,50
50,38,resnet18,50
51,39,alexnet,50
52,40,resnet18,50
53,40,resnet34,50
54,41,alexnet,50
55,41,resnet50,50
56,41,resnet34,50
57,43,resnet18,50
58,43,resnet34,50
59,45,resnet18,50
60,45,resnet34,50
61,47,resnet18,50
62,47,alexnet,50
63,47,resnet34,50
64,48,resnet34,50
