net_idx,inject_time_us,network,num_inputs
1,1,resnet50,10
2,1,resnet50,10
3,2,resnet50,10
4,2,resnet18,10
5,2,resnet18,10
6,3,resnet18,10
7,4,resnet18,10
8,4,resnet18,10
9,8,resnet18,10
10,8,resnet34,10
11,9,alexnet,10
12,11,alexnet,10
13,14,resnet50,10
14,16,resnet50,10
15,17,alexnet,10
16,21,resnet50,10
17,21,resnet18,10
18,22,resnet50,10
19,22,alexnet,10
20,23,resnet18,10
21,23,resnet34,10
22,24,resnet18,10
23,24,resnet18,10
24,25,resnet50,10
25,26,resnet34,10
26,26,resnet50,10
27,26,resnet50,10
28,28,resnet34,10
29,29,resnet50,10
30,29,resnet50,10
31,30,resnet34,10
32,31,resnet34,10
33,33,resnet50,10
34,33,resnet50,10
35,33,alexnet,10
36,33,resnet18,10
37,37,resnet34,10
38,38,alexnet,10
39,38,resnet34,10
40,38,resnet18,10
41,40,resnet50,10
42,40,resnet18,10
43,41,resnet50,10
44,42,resnet50,10
45,43,resnet50,10
46,44,resnet18,10
47,49,resnet34,10
48,49,alexnet,10
49,49,resnet34,10
50,49,resnet34,10
51,56,resnet50,10
52,56,resnet18,10
53,56,alexnet,10
54,57,alexnet,10
55,58,resnet34,10
56,60,alexnet,10
57,62,resnet34,10
58,63,resnet50,10
59,64,alexnet,10
60,65,resnet34,10
61,65,resnet50,10
62,67,resnet34,10
63,68,resnet50,10
64,68,resnet18,10
65,69,resnet50,10
66,70,resnet34,10
67,71,alexnet,10
68,74,alexnet,10
69,74,alexnet,10
70,75,alexnet,10
71,75,resnet18,10
72,75,resnet34,10
73,76,resnet18,10
74,76,resnet18,10
75,76,resnet50,10
76,79,resnet18,10
77,80,resnet34,10
78,81,resnet34,10
79,82,resnet50,10
80,84,resnet34,10
81,84,alexnet,10
82,85,resnet34,10
83,87,alexnet,10
84,87,alexnet,10
85,90,resnet34,10
86,90,resnet34,10
87,92,alexnet,10
88,93,resnet50,10
89,95,resnet50,10
90,98,resnet50,10
91,98,resnet18,10
92,98,resnet34,10
93,98,alexnet,10
94,98,resnet34,10
95,99,resnet18,10
