net_idx,inject_time_us,network,num_inputs
1,31,mobilenet_v3,3
2,43,mobilenet_v3,9
3,54,resnet18,3
4,68,resnet18,2
5,88,alexnet,8
6,88,mobilenet_v3,5
7,89,resnet18,1
8,96,alexnet,8
9,97,resnet50,6
10,120,resnet34,10
11,134,resnet18,1
12,137,resnet18,9
13,140,mobilenet_v3,8
14,150,vgg16,4
15,190,resnet18,4
16,193,resnet18,3
17,208,resnet50,7
18,214,resnet50,5
19,230,resnet34,5
20,239,resnet18,2
21,256,alexnet,1
22,276,resnet18,10
23,282,resnet34,2
24,291,resnet18,9
25,293,mobilenet_v3,5
26,299,mobilenet_v3,1
27,303,resnet34,7
28,339,vgg16,7
29,341,resnet18,7
30,360,resnet50,9
31,369,mobilenet_v3,7
32,374,resnet50,9
33,377,vgg16,3
34,383,resnet18,6
35,390,resnet50,6
36,391,resnet34,7
37,393,resnet18,3
38,399,resnet18,7
39,403,resnet18,9
40,405,alexnet,5
41,407,alexnet,4
42,413,resnet34,2
43,415,resnet18,4
44,415,resnet50,6
45,429,resnet34,5
46,452,resnet50,8
47,463,resnet34,2
48,464,mobilenet_v3,2
49,502,resnet18,5
50,505,resnet50,1
51,515,vgg16,10
52,530,resnet34,4
53,546,mobilenet_v3,1
54,548,mobilenet_v3,6
55,554,alexnet,6
56,557,mobilenet_v3,8
57,569,resnet18,6
58,587,mobilenet_v3,4
59,597,resnet50,8
60,606,resnet34,10
61,615,resnet18,2
62,620,resnet18,2
63,639,resnet18,7
64,657,mobilenet_v3,1
65,662,resnet18,4
66,663,resnet18,2
67,667,resnet50,8
68,670,mobilenet_v3,9
69,673,resnet50,2
70,677,resnet34,10
71,694,mobilenet_v3,1
72,699,resnet18,8
73,707,resnet18,7
74,713,resnet34,2
75,714,resnet34,8
76,716,resnet18,5
77,734,resnet34,2
78,750,resnet18,4
79,751,resnet18,4
80,760,vgg16,7
81,761,vgg16,2
82,767,resnet18,5
83,773,alexnet,8
84,778,resnet34,7
85,780,vgg16,7
86,793,resnet34,6
87,800,resnet50,4
88,802,vgg16,2
89,819,alexnet,8
90,821,resnet18,3
91,827,resnet18,2
92,831,resnet34,10
93,890,resnet34,6
94,899,vgg16,4
95,899,alexnet,6
96,906,resnet50,3
97,921,resnet50,6
98,934,mobilenet_v3,3
99,943,resnet34,2
100,945,resnet50,9
