net_idx,inject_time_us,network,num_inputs
1,0,resnet34,1
2,2,resnet34,1
3,3,resnet50,1
4,4,alexnet,1
5,4,resnet50,1
6,6,resnet18,1
7,6,alexnet,1
8,8,resnet34,1
9,11,resnet50,1
10,11,resnet50,1
11,11,alexnet,1
12,13,resnet50,1
13,15,resnet18,1
14,15,alexnet,1
15,16,resnet50,1
16,18,resnet34,1
17,19,resnet50,1
18,22,resnet18,1
19,22,resnet34,1
20,23,resnet18,1
21,26,alexnet,1
22,28,alexnet,1
23,30,alexnet,1
24,31,resnet18,1
25,31,resnet18,1
26,31,resnet18,1
27,32,resnet34,1
28,32,resnet34,1
29,33,resnet18,1
30,33,resnet18,1
31,36,resnet50,1
32,36,resnet18,1
33,36,resnet18,1
34,38,resnet18,1
35,39,alexnet,1
36,39,resnet18,1
37,39,resnet18,1
38,41,alexnet,1
39,41,resnet18,1
40,42,resnet50,1
41,45,alexnet,1
42,47,alexnet,1
43,49,resnet50,1
