net_idx,inject_time_us,network,num_inputs
1,0,resnet18,40
2,0,alexnet,40
3,0,resnet34,40
4,0,alexnet,40
5,2,alexnet,40
6,2,resnet34,40
7,10,resnet50,40
8,13,alexnet,40
9,13,resnet18,40
10,14,resnet50,40
11,14,resnet34,40
12,16,resnet18,40
13,16,resnet50,40
14,16,resnet34,40
15,18,alexnet,40
16,19,alexnet,40
17,19,resnet18,40
18,24,alexnet,40
19,24,alexnet,40
20,24,resnet18,40
21,25,resnet34,40
22,25,resnet50,40
23,26,alexnet,40
24,27,resnet18,40
25,28,resnet34,40
26,29,resnet34,40
27,30,resnet34,40
28,30,resnet34,40
29,31,resnet18,40
30,32,resnet50,40
31,34,resnet50,40
32,38,resnet18,40
33,38,resnet50,40
34,39,alexnet,40
35,39,resnet34,40
36,39,resnet18,40
37,42,alexnet,40
38,42,resnet50,40
39,43,resnet18,40
40,43,resnet34,40
41,43,resnet50,40
42,44,alexnet,40
43,46,resnet50,40
44,46,alexnet,40
