net_idx,inject_time_us,network,num_inputs
1,1,resnet50,2
2,2,resnet34,2
3,3,resnet34,2
4,3,alexnet,2
5,4,resnet50,2
6,5,resnet50,2
7,6,alexnet,2
8,7,resnet18,2
9,7,resnet34,2
10,8,resnet50,2
11,9,resnet34,2
12,12,resnet34,2
13,13,resnet34,2
14,15,resnet50,2
15,16,resnet34,2
16,16,alexnet,2
17,16,resnet34,2
18,18,resnet34,2
19,19,resnet34,2
20,20,alexnet,2
21,20,resnet34,2
22,21,resnet18,2
23,21,resnet18,2
24,22,resnet18,2
25,23,resnet50,2
26,23,resnet18,2
27,23,resnet50,2
28,23,resnet18,2
29,24,alexnet,2
30,26,resnet34,2
31,27,resnet34,2
32,27,resnet34,2
33,28,resnet50,2
34,28,alexnet,2
35,28,resnet34,2
36,34,resnet50,2
37,36,alexnet,2
38,36,resnet18,2
39,37,resnet34,2
40,37,resnet50,2
41,40,resnet50,2
42,43,resnet34,2
43,44,resnet18,2
44,45,resnet18,2
45,47,resnet34,2
46,47,resnet50,2
47,48,resnet50,2
48,48,alexnet,2
49,49,resnet34,2
50,49,resnet50,2
